Unnamed: 0,Year,President,Expense
0,1960,John F. Kennedy,45380000000.0
1,1961,John F. Kennedy,47808000000.0
2,1962,John F. Kennedy,52381000000.0
3,1963,John F. Kennedy,52295000000.0
4,1964,Lyndon B. Johnson,51213000000.0
5,1965,Lyndon B. Johnson,51827000000.0
6,1966,Lyndon B. Johnson,63572000000.0
7,1967,Lyndon B. Johnson,75448000000.0
8,1968,Lyndon B. Johnson,80732000000.0
9,1969,Richard Nixon,81443000000.0
10,1970,Richard Nixon,79846000000.0
11,1971,Richard Nixon,74862000000.0
12,1972,Richard Nixon,77639000000.0
13,1973,Richard Nixon,78358000000.0
14,1974,Richard Nixon,85906000000.0
15,1975,Gerald Ford,88400000000.0
16,1976,Gerald Ford,91013000000.0
17,1977,Jimmy Carter,101000000000.0
18,1978,Jimmy Carter,109000000000.0
19,1979,Jimmy Carter,122000000000.0
20,1980,Jimmy Carter,138000000000.0
21,1981,Ronald Reagan,170000000000.0
22,1982,Ronald Reagan,214000000000.0
23,1983,Ronald Reagan,214000000000.0
24,1984,Ronald Reagan,231000000000.0
25,1985,Ronald Reagan,258000000000.0
26,1986,Ronald Reagan,281000000000.0
27,1987,Ronald Reagan,288000000000.0
28,1988,Ronald Reagan,293000000000.0
29,1989,George H. W. Bush,304000000000.0
30,1990,George H. W. Bush,306000000000.0
31,1991,George H. W. Bush,280000000000.0
32,1992,George H. W. Bush,305000000000.0
33,1993,Bill Clinton,298000000000.0
34,1994,Bill Clinton,288000000000.0
35,1995,Bill Clinton,279000000000.0
36,1996,Bill Clinton,271000000000.0
37,1997,Bill Clinton,276000000000.0
38,1998,Bill Clinton,274000000000.0
39,1999,Bill Clinton,281000000000.0
40,2000,Bill Clinton,302000000000.0
41,2001,George W. Bush,313000000000.0
42,2002,George W. Bush,357000000000.0
43,2003,George W. Bush,415000000000.0
44,2004,George W. Bush,465000000000.0
45,2005,George W. Bush,503000000000.0
46,2006,George W. Bush,528000000000.0
47,2007,George W. Bush,557000000000.0
48,2008,George W. Bush,621000000000.0
49,2009,Barack Obama,669000000000.0
50,2010,Barack Obama,698000000000.0
51,2011,Barack Obama,711000000000.0
52,2012,Barack Obama,685000000000.0
53,2013,Barack Obama,640000000000.0
54,2014,Barack Obama,610000000000.0
55,2015,Barack Obama,596000000000.0
56,2016,Barack Obama,600000000000.0
57,2017,Donald Trump,606000000000.0
58,2018,Donald Trump,649000000000.0
